title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Endangered and Threatened Species; Proposed Threatened Status for Subspecies of the Ringed Seal,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"We, NMFS, have completed a comprehensive status review of the ringed seal (Phoca hispida) under the Endangered Species Act (ESA) and announce a 12-month finding on a petition to list the ringed seal as a threatened or endangered species. Based on consideration of information presented in the status review report, an assessment of the factors in the ESA, and efforts being made to protect the species, we have determined the Arctic (Phoca hispida hispida), Okhotsk (Phoca hispida ochotensis), Baltic (Phoca hispida botnica), and Ladoga (Phoca hispida ladogensis) subspecies of the ringed seal are likely to become endangered throughout all or a significant portion of their range in the foreseeable future. Accordingly, we issue a proposed rule to list these subspecies of the ringed seal as threatened species, and we solicit comments on this proposed action. At this time, we do not propose to designate critical habitat for the Arctic ringed seal because it is not currently determinable. In order to complete the critical habitat designation process, we also solicit information on essential physical and biological features of Arctic ringed seal habitat.", 2010-30934,https://www.federalregister.gov/documents/2010/12/10/2010-30934/endangered-and-threatened-species-proposed-threatened-status-for-subspecies-of-the-ringed-seal,https://www.gpo.gov/fdsys/pkg/FR-2010-12-10/pdf/2010-30934.pdf,12/10/2010
Endangered and Threatened Species; Proposed Threatened and Not Warranted Status for Subspecies and Distinct Population Segments of the Bearded Seal,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"We, NMFS, have completed a comprehensive status review of the bearded seal (Erignathus barbatus) under the Endangered Species Act (ESA) and announce a 12-month finding on a petition to list the bearded seal as a threatened or endangered species. The bearded seal exists as two subspecies: Erignathus barbatus nauticus and Erignathus barbatus barbatus. Based on the findings from the status review report and consideration of the factors affecting these subspecies, we conclude that E. b. nauticus consists of two distinct population segments (DPSs), the Beringia DPS and the Okhotsk DPS. Moreover, based on consideration of information presented in the status review report, an assessment of the factors in section 4(a)(1) of the ESA, and efforts being made to protect the species, we have determined the Beringia DPS and the Okhotsk DPS are likely to become endangered throughout all or a significant portion of their ranges in the foreseeable future. We have also determined that E. b. barbatus is not in danger of extinction or likely to become endangered throughout all or a significant portion of its range in the foreseeable future. Accordingly, we are now issuing a proposed rule to list the Beringia DPS and the Okhotsk DPS of the bearded seal as threatened species. No listing action is proposed for E. b. barbatus. We solicit comments on this proposed action. At this time, we do not propose to designate critical habitat for the Beringia DPS because it is not currently determinable. In order to complete the critical habitat designation process, we solicit information on the essential physical and biological features of bearded seal habitat for the Beringia DPS.", 2010-30931,https://www.federalregister.gov/documents/2010/12/10/2010-30931/endangered-and-threatened-species-proposed-threatened-and-not-warranted-status-for-subspecies-and,https://www.gpo.gov/fdsys/pkg/FR-2010-12-10/pdf/2010-30931.pdf,12/10/2010
Solicitation of Applications for the Planning and Local Technical Assistance Programs,Notice,Commerce Department; Economic Development Administration,"Pursuant to the Public Works and Economic Development Act of 1965, as amended, EDA announces general policies and application procedures for grant-based investments under the Planning and Local Technical Assistance Programs. These programs will help communities develop the planning and technical expertise to support communities and regions in their comprehensive, entrepreneurial, and innovation-based economic development efforts. Resulting in increased private investment and higher-skill, higher-wage jobs in areas experiencing substantial and persistent economic distress, these programs are designed to enhance the competitiveness of regions. Applicants are advised to read carefully the federal funding opportunity (FFO) announcement for this notice and request for applications. For a copy of the FFO announcement, please see the Web sites listed below under ``Electronic Access.''", 2010-29744,https://www.federalregister.gov/documents/2010/11/26/2010-29744/solicitation-of-applications-for-the-planning-and-local-technical-assistance-programs,https://www.gpo.gov/fdsys/pkg/FR-2010-11-26/pdf/2010-29744.pdf,11/26/2010
Technology Innovation Program (TIP) Seeks White Papers,Notice,Commerce Department; National Institute of Standards and Technology,"The National Institute of Standards and Technology's (NIST) Technology Innovation Program (TIP) announces that it is seeking white papers from any interested party, including academia; Federal, State, and local governments; industry; national laboratories; professional organizations/societies, and others. White papers will be used to identify and select areas of critical national need and the associated technical challenges to be addressed in future TIP competitions.", 2010-27435,https://www.federalregister.gov/documents/2010/10/29/2010-27435/technology-innovation-program-tip-seeks-white-papers,https://www.gpo.gov/fdsys/pkg/FR-2010-10-29/pdf/2010-27435.pdf,10/29/2010
"Solicitation of Applications for the Public Works, Economic Adjustment Assistance, and Global Climate Change Mitigation Incentive Fund (GCCMIF) Economic Development Assistance Programs",Notice,Commerce Department; Economic Development Administration,"This notice announces new application submission and review procedures for FY 2011 funding under EDA's (i) Public Works and Economic Development Facilities Program; (ii) Economic Adjustment Assistance Program; and (iii) Global Climate Change Mitigation Incentive Fund (GCCMIF) Program. To enhance the competitiveness, transparency, and efficiency of EDA's grants-making process and ensure timely responsiveness to applicants, in FY 2011 EDA will move to a funding cycle system under which applications submitted under these programs will be considered for funding roughly once a quarter. Beginning on October 14, 2010, applications will still be accepted on a continuing basis but must be received by the deadlines set out below in order to be considered for funding during a particular cycle. Eligible applicants have the option of receiving preliminary feedback on an application's technical and competitive merits by submitting the application for an optional preliminary review as described in section V.A. of the Federal Funding Opportunity (FFO) announcement, which is posted on EDA's Web site at http://www.eda.gov/ InvestmentsGrants/Grant%20Process.xml. EDA will provide such feedback not later than 15 business days after EDA's receipt of the application, and applicants will have the opportunity to revise and/or supplement the application as necessary or submit a new application by the funding cycle deadline or in time for consideration in a subsequent funding cycle. Applicants that elect to receive such feedback should take care to submit the application sufficiently in advance of a funding cycle deadline so that EDA can provide the feedback and the applicant can make any changes and/or provide additional documentation or submit a new application by the funding cycle deadline. EDA will not select projects for funding until after the funding cycle deadline has passed. Applications may be submitted electronically in accordance with the instructions provided at http://www.grants.gov or in hard copy to the applicable regional office. Please see sections IV. and V. of the FFO for complete information on the new application submission and processing procedures. Deadlines: Beginning in FY 2011, EDA will accept and review applications submitted under its Public Works, Economic Adjustment Assistance, and GCCMIF Programs in funding cycles. To be considered during a particular funding cycle, complete applications must be accepted and validated by http://www.grants.gov or delivered in hard copy to the applicable regional office listed in section IX. of the FFO with a postmark or courier service's time and date stamp on or before 5 p.m. local time in the applicable regional office on the deadline date for the funding cycles listed below. For FY 2011, the funding cycle deadlines are as follows: <bullet> December 15 for funding cycle 1; <bullet> March 10 for funding cycle 2; <bullet> June 10 for funding cycle 3; and <bullet> September 15 for funding cycle 1 of FY 2012. Please note that applications for financial assistance submitted under EDA's Planning, Partnership Planning, Local Technical Assistance, University Center, and Research and National Technical Assistance Programs are not subject to the deadlines described above, and requirements for these programs will be published in separate FFO announcements. In addition, applications for any supplemental appropriations that EDA receives will not be subject to the deadlines published in this notice, and EDA will publish a separate FFO for any such appropriations. Please contact the applicable regional office listed in section IX. of the FFO for additional information on submitting an application under any of EDA's programs.", 2010-25896,https://www.federalregister.gov/documents/2010/10/14/2010-25896/solicitation-of-applications-for-the-public-works-economic-adjustment-assistance-and-global-climate,https://www.gpo.gov/fdsys/pkg/FR-2010-10-14/pdf/2010-25896.pdf,10/14/2010
FY 2010 Gulf Oil Spill Supplemental Federal Funding Opportunity,Notice,Commerce Department; Economic Development Administration,"Pursuant to the Supplemental Appropriations Act, Public Law 111-212, 124 Stat. 2302 (2010), EDA announces general policies and application procedures for the FY 2010 Gulf Oil Spill Supplemental Federal Funding Opportunity. This investment assistance will be made available to help devise and implement short- or long-term economic redevelopment strategies and for technical assistance activities to address economic development challenges in regions impacted by the discharge of oil stemming from the April 20, 2010, BP Deepwater Horizon drilling rig explosion. Applicants are advised to read carefully the federal funding opportunity (FFO) announcement for this notice and request for applications. For a copy of the FFO announcement, please see the Web sites listed below under ``Electronic Access.''", 2010-23845,https://www.federalregister.gov/documents/2010/09/23/2010-23845/fy-2010-gulf-oil-spill-supplemental-federal-funding-opportunity,https://www.gpo.gov/fdsys/pkg/FR-2010-09-23/pdf/2010-23845.pdf,09/23/2010
Corrosion-Resistant Carbon Steel Flat Products From the Republic of Korea: Preliminary Results and Partial Rescission of Countervailing Duty Administrative Review,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (the Department) is conducting an administrative review of the countervailing duty (CVD) order on corrosion-resistant carbon steel flat products (CORE) from the Republic of Korea (Korea) for the period of review (POR) January 1, 2008, through December 31, 2008. As a result of withdrawals of request for review, we are rescinding this review, in part, with respect to Dongbu Steel Co., Ltd. (Dongbu) and Pohang Iron and Steel Co., Ltd. (POSCO). For information on the net subsidy for Hyundai HYSCO Ltd. (HYSCO) the company reviewed, see the ``Preliminary Results of Review'' section of this notice. Interested parties are invited to comment on these preliminary results. See the ``Public Comment'' section of this notice.", 2010-22901,https://www.federalregister.gov/documents/2010/09/14/2010-22901/corrosion-resistant-carbon-steel-flat-products-from-the-republic-of-korea-preliminary-results-and,https://www.gpo.gov/fdsys/pkg/FR-2010-09-14/pdf/2010-22901.pdf,09/14/2010
Space Coast Regional Innovation Cluster Competition,Notice,Commerce Department; Economic Development Administration,"This notice announces the upcoming availability of funding for the Space Coast Regional Innovation Cluster (RIC) Competition under EDA's Economic Adjustment Assistance (EAA) Program. EDA solicits competitive applications to catalyze the advancement of Central Florida's key regional industry clusters. Additional information can be found at the Space Coast RIC Web site at http://www.eda.gov/ SpaceCoastRIC. Applicants are advised to read carefully the Federal funding opportunity (FFO) announcement for the Space Coast RIC Competition. For a copy of the FFO, please see the Web sites listed below under ``Electronic Access.''", 2010-21905,https://www.federalregister.gov/documents/2010/09/01/2010-21905/space-coast-regional-innovation-cluster-competition,https://www.gpo.gov/fdsys/pkg/FR-2010-09-01/pdf/2010-21905.pdf,09/01/2010
Coral Reef Conservation Program Implementation Guidelines,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"This document provides NOAA's revised Grant Program Implementation Guidelines (Guidelines) for the Coral Reef Conservation Program (CRCP or Program) under the Coral Reef Conservation Act of 2000 (Act). The Act authorizes the Secretary of Commerce (Secretary), through the NOAA Administrator (Administrator) and subject to the availability of funds, to provide matching grants of financial assistance for coral reef conservation projects under the Act. NOAA revised the Implementation Guidelines for the Grant Program, which were originally published in 2002, to be applicable to Fiscal Years (FY) 2011 through FY 2015 and published a draft of the revision in the Federal Register notice of January 19, 2010 (75 FR 3114-3120) for review and comment. NOAA proposes to utilize several existing grant programs and mechanisms to implement the Program. Specific information about each funding category, including available funding, dates, detailed application requirements and evaluation criteria, is published in separate Federal Register notices. In accordance with the Act, NOAA developed a National Coral Reef Action Strategy (Strategy) in 2002 to provide an implementation plan to advance coral reef conservation, including a basis for funding allocations to be made under the Program. In response to an external program review in 2007, a new program manager, development of a `Roadmap' for the future of the Program, and publication in 2009 of the CRCP Goals and Objectives 2010-2015 and CRCP International Strategy, the Program revised its Implementation Guidelines for the Grant Program to align more closely with the Program's new direction. The Department of Commerce Pre-Award Notification Requirements for Grants and Cooperative Agreements contained in the Federal Register notice of February 11, 2008 (73 FR 7696), are applicable to solicitations under this Program. This document is not a solicitation for project proposals.", 2010-19889,https://www.federalregister.gov/documents/2010/08/12/2010-19889/coral-reef-conservation-program-implementation-guidelines,https://www.gpo.gov/fdsys/pkg/FR-2010-08-12/pdf/2010-19889.pdf,08/12/2010
U.S. Cleantech Trade & Investment Mission,Notice,Commerce Department; International Trade Administration,"Because of space limitations and the need to make travel and exhibition arrangements in advance, the Department of Commerce, International Trade Administration, U.S. and Foreign Commercial Service and the Economic Development Administration have advanced the application deadline for company participants from October 15, 2010 to September 15, 2010. The deadline for community delegates remains August 15, 2010. For the convenience of interested stakeholders, the revised mission statement is reprinted below in its entirety with the revised deadline.", 2010-18812,https://www.federalregister.gov/documents/2010/08/02/2010-18812/us-cleantech-trade-and-investment-mission,https://www.gpo.gov/fdsys/pkg/FR-2010-08-02/pdf/2010-18812.pdf,08/02/2010
U.S. Cleantech Trade & Investment Mission,Notice,Commerce Department; International Trade Administration,"", 2010-17203,https://www.federalregister.gov/documents/2010/07/15/2010-17203/us-cleantech-trade-and-investment-mission,https://www.gpo.gov/fdsys/pkg/FR-2010-07-15/pdf/2010-17203.pdf,07/15/2010
Solicitation of Applications for the Research and Evaluation Program: FY 2010 Triple Bottom Line Accounting Competition-A Method for Identifying Impacts of Economic Development Initiatives on Regional Economies,Notice,Commerce Department; Economic Development Administration,"Pursuant to the Research and Evaluation program, the Economic Development Administration (EDA) seeks applications to research, develop, and disseminate metrics to enable policymakers and practitioners to more effectively understand how to assess the triple bottom line (economic, environmental, and social impacts) of various economic development activities. EDA's mission is to lead the Federal economic development agenda by promoting innovation and competitiveness, preparing American regions for growth and success in the worldwide economy. Through its Research and Evaluation program, EDA works towards fulfilling its mission by funding research and technical assistance projects to promote competitiveness and innovation in distressed rural and urban regions throughout the United States and its territories. By working in conjunction with its research partners, EDA will help States, local governments, and community-based organizations to achieve their highest economic potential.", 2010-16054,https://www.federalregister.gov/documents/2010/07/01/2010-16054/solicitation-of-applications-for-the-research-and-evaluation-program-fy-2010-triple-bottom-line,https://www.gpo.gov/fdsys/pkg/FR-2010-07-01/pdf/2010-16054.pdf,07/01/2010
Notice of Funding Availability for the Department of Housing and Urban Development's Community Challenge Planning Grants and the Department of Transportation's TIGER II Planning Grants,Notice,Housing and Urban Development Department; Transportation Department,"This notice announces the availability of funding and requests proposals for the Department of Housing and Urban Development's (``HUD's'') Community Challenge Planning Grants (``Community Challenge Planning Grants'') in conjunction with a portion of the Department of Transportation's (``DOT's'') National Infrastructure Investments Grants that can be used for transportation planning grants. On December 16, 2009, the President signed the Consolidated Appropriations Act, 2010 (Pub. L. 111-117) that provided $40 million for HUD's Community Challenge Planning Grants and up to $35 million for DOT's transportation planning grants to be awarded as part of the National Infrastructure Investments program. The National Infrastructure Investments program is similar, but not identical to, the Transportation Investment Generating Economic Recovery, or ``TIGER Discretionary Grant Program.'' Because of the similarity in program structure, DOT is referring to the grants for National Infrastructure Investments under the FY 2010 Appropriations Act as ``TIGER II Discretionary Grants'' and the transportation planning grants as ``TIGER II Planning Grants.'' HUD's $40 million Community Challenge Planning Grant Program will foster reform and reduce barriers to achieving affordable, economically vital, and sustainable communities. Such efforts may include amending or replacing local master plans, zoning codes, and building codes, either on a jurisdiction-wide basis or in a specific neighborhood, district, corridor, or sector to promote mixed-use development, affordable housing, the reuse of older buildings and structures for new purposes, and similar activities with the goal of promoting sustainability at the local or neighborhood level. HUD's Community Challenge Planning Grant Program also supports the development of affordable housing through the development and adoption of inclusionary zoning ordinances and other activities such as acquisition of land for affordable housing projects. The Community Challenge Planning Grant Program differs from HUD's Sustainable Communities Regional Planning Grant Program, a $100 million program also created in the FY2010 Appropriations Act. While the latter program is designed to support regional planning efforts, the Community Challenge Planning Grant Program focuses on individual jurisdictions and more localized planning. HUD will publish a separate NOFA for the Sustainable Communities Regional Planning Grant Program. DOT is authorized to use up to $35 million of the funds available for TIGER II Discretionary Grants for TIGER II Planning Grants to fund the planning, preparation, or design of surface transportation projects that would be eligible for funding under the TIGER II Discretionary Grant program. DOT and HUD have decided to issue this NOFA jointly in order to better align transportation, housing, economic development, and land use planning and to improve linkages between DOT and HUD's programs. HUD's funding is designed to target housing, economic development, and land use planning strategies that will increase the efficiency and effectiveness of a related transportation project being planned. Therefore, DOT and HUD believe this joint effort has the potential to encourage and reward more holistic planning efforts that result in better projects being built with Federal dollars. The effort is also consistent with the Obama Administration's priority on removing artificial barriers between Federal programs and barriers to State and local governmental level innovation. On April 26, 2010 (75 FR 21695), DOT published an interim notice announcing the availability of funding for TIGER II Discretionary Grants. Because the TIGER II Discretionary Grant program is a new program, the interim notice requested comments on the proposed selection criteria and guidance for awarding TIGER II Discretionary Grants. In the interim notice, DOT specifically requested comments on its intention to conduct a multi-agency evaluation and award process with HUD for the Community Challenge Planning Grants and the TIGER II Planning Grants. DOT indicated that this multi-agency approach for the planning grants would be consistent with DOT and HUD's participation in the ``Partnership for Sustainable Communities'' with the U.S. Environmental Protection Agency (``EPA'') to help American families in all communities--rural, suburban and urban--gain better access to affordable housing, more transportation options, lower transportation costs, and a cleaner environment. HUD and DOT have considered the comments that were submitted in accordance with the interim notice and decided to conduct a multi-agency evaluation and award process. The details of this multi-agency planning grant program, including information about eligibility, selection criteria, and pre-application and application requirements are included in this joint notice. The final notice for the TIGER II Discretionary Grant program (the ``TIGER II Discretionary Grant NOFA'') was published on June 1, 2010 (75 FR 30460). Interested parties are encouraged to review the TIGER II Discretionary Grant NOFA for more information about that program.", 2010-15353,https://www.federalregister.gov/documents/2010/06/24/2010-15353/notice-of-funding-availability-for-the-department-of-housing-and-urban-developments-community,https://www.gpo.gov/fdsys/pkg/FR-2010-06-24/pdf/2010-15353.pdf,06/24/2010
Notice of Availability and Notice of Public Hearing for the Environmental Assessment for the Klingle Valley Trail,Notice,Transportation Department; Federal Highway Administration,"The U.S. Federal Highway Administration (FHWA) and the District Department of Transportation (DDOT) as lead agencies, and in cooperation with the National Park Service (NPS), announce the availability of the Environmental Assessment (EA) for the Klingle Valley Trail Project, pursuant to the requirements of the National Environmental Policy Act of 1969 (NEPA), 42 U.S.C. 4321-4347; the Council on Environmental Quality Regulations (40 CFR parts 1500-1508); and the FHWA Environmental Impact and Related Procedures (23 CFR 771). FHWA and DDOT will also be hosting a Public Hearing to provide citizens an opportunity to comment on the proposed project and EA. FHWA and DDOT will consider comments received (see DATES and ADDRESSES, below) in finalizing the EA. FHWA and DDOT will then determine whether to prepare an environmental impact statement or issue a finding of no significant impact if appropriate for the proposed action.", 2010-13485,https://www.federalregister.gov/documents/2010/06/07/2010-13485/notice-of-availability-and-notice-of-public-hearing-for-the-environmental-assessment-for-the-klingle,https://www.gpo.gov/fdsys/pkg/FR-2010-06-07/pdf/2010-13485.pdf,06/07/2010
"Notice of Withdrawal of the Notice of Intent for Klingle Road Environmental Impact Statement; Washington, DC",Notice,Transportation Department; Federal Highway Administration,"The U.S. Federal Highway Administration (FHWA) is issuing this notice to advise the public that, effective immediately, the Notice of Intent (NOI) (Federal Register Vol. 69, No 52; FR Doc 04-6027) to prepare an Environmental Impact Statement (EIS) for the proposed reopening of Klingle Road, NW., to vehicular access in Washington, DC, is being withdrawn. The NOI for the EIS was announced on March 18, 2004.", 2010-13490,https://www.federalregister.gov/documents/2010/06/07/2010-13490/notice-of-withdrawal-of-the-notice-of-intent-for-klingle-road-environmental-impact-statement,https://www.gpo.gov/fdsys/pkg/FR-2010-06-07/pdf/2010-13490.pdf,06/07/2010
Major Capital Investment Projects,Proposed Rule,Transportation Department; Federal Transit Administration,"This advance notice of proposed rulemaking (ANPRM) seeks public comment regarding the Federal Transit Administration's (FTA) New Starts and Small Starts project justification criteria. In particular, FTA seeks public input on how to improve its calculation of ``cost effectiveness,'' including whether FTA should measure quantifiable benefits other than reduced travel time. In addition, FTA seeks comment on how it should evaluate environmental benefits and economic development effects. Information gathered from this ANPRM will inform FTA's broader effort, next year, to amend the regulations that govern its New Starts and Small Starts programs.", 2010-13423,https://www.federalregister.gov/documents/2010/06/03/2010-13423/major-capital-investment-projects,https://www.gpo.gov/fdsys/pkg/FR-2010-06-03/pdf/2010-13423.pdf,06/03/2010
FY 2010 Discretionary Livability Funding Opportunity: Alternatives Analysis Program,Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) announces the availability of up to $25.7 million in discretionary Fiscal Year (FY) 2009 and 2010 funds under the Alternatives Analysis Program (49 U.S.C. 5339) authorized by the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy For Users (SAFETEA-LU), Public Law 109-59, August 10, 2005. Discretionary program funds will be distributed in accordance with the mission of this program and in support of the Department of Transportation's Livability Initiative. This announcement is available on the FTA Web site at: http:// www.fta.dot.gov. FTA will announce final selections on the Web site and in the Federal Register. A synopsis of this funding opportunity will be posted in the FIND module of the government-wide electronic grants Web site at http://www.grants.gov. All proposals must be submitted to FTA electronically through the GRANTS.GOVAPPLY function. Applicants will receive two confirmation e-mails. The first will confirm that the application was received and a second will confirm within 24-48 hours whether the application was validated or rejected by the system. Additional information on submitting proposals through the GRANTS.GOV Web site is provided later in this announcement.", 2010-12950,https://www.federalregister.gov/documents/2010/05/28/2010-12950/fy-2010-discretionary-livability-funding-opportunity-alternatives-analysis-program,https://www.gpo.gov/fdsys/pkg/FR-2010-05-28/pdf/2010-12950.pdf,05/28/2010
"Executive Green ICT & Energy Efficiency Trade Mission to Mexico City, Mexico",Notice,Commerce Department; International Trade Administration,"", 2010-12207,https://www.federalregister.gov/documents/2010/05/21/2010-12207/executive-green-ict-and-energy-efficiency-trade-mission-to-mexico-city-mexico,https://www.gpo.gov/fdsys/pkg/FR-2010-05-21/pdf/2010-12207.pdf,05/21/2010
EDA Participation in the Energy Efficient Building Systems Regional Innovation Cluster Initiative,Notice,Commerce Department; Economic Development Administration,"EDA announces its participation in the Energy Efficient Building Systems Regional Innovation Cluster Initiative (Initiative), the first pilot project of the Interagency Regional Innovation Clusters Taskforce (Taskforce). The Taskforce has been charged with developing a replicable and sustainable model for coordinated Federal and regional efforts that foster and use regional innovation clusters to: Develop and demonstrate sustainable and efficient models for attaining national strategic objectives; create and retain Good Jobs (defined below); eliminate gaps between the supply and demand for workers in specialized fields through training and education; increase regional gross domestic product (GDP); promote innovation in science and technology; and enhance the economic, technological, and commercial competitiveness of the United States on the global stage. The Taskforce has selected Energy Efficient Building Systems Design as the topical focus for its first pilot project. The pilot project will be anchored around a Department of Energy (DOE)-funded Energy Innovation Hub and will incorporate elements funded by each of EDA, SBA, and NIST/MEP. Capitalized terms used in this notice and request for applications have the meanings ascribed to them under the heading SUPPLEMENTARY INFORMATION below.", 2010-7467,https://www.federalregister.gov/documents/2010/04/02/2010-7467/eda-participation-in-the-energy-efficient-building-systems-regional-innovation-cluster-initiative,https://www.gpo.gov/fdsys/pkg/FR-2010-04-02/pdf/2010-7467.pdf,04/02/2010
Solicitation of Applications for the FY 2010 University Center Economic Development Program Competition in EDA's Austin and Denver Regional Offices,Notice,Commerce Department; Economic Development Administration,"EDA is soliciting competitive applications from accredited institutions of higher education, including community colleges, and from consortia of accredited institutions of higher education for FY 2010 University Center Economic Development Program funding in the geographic areas served by its Austin and Denver regional offices. EDA's mission is to lead the federal economic development agenda by promoting innovation and competitiveness, preparing American regions for growth and success in the worldwide economy. Institutions of higher education have many assets and are able to establish and operate University Centers in partnership with EDA. These EDA-sponsored University Centers conduct research; provide technical assistance to tribal entities, local governments, and public and private sector organizations; and undertake other activities with the goal of enhancing regional economic development by promoting a favorable business environment to attract private capital investment and higher- skill, higher-wage jobs.", 2010-4591,https://www.federalregister.gov/documents/2010/03/05/2010-4591/solicitation-of-applications-for-the-fy-2010-university-center-economic-development-program,https://www.gpo.gov/fdsys/pkg/FR-2010-03-05/pdf/2010-4591.pdf,03/05/2010
"FTA Fiscal Year 2010 Apportionments, Allocations, and Program Information",Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) annually publishes one or more notices apportioning funds appropriated by law. In some cases, if less than a full year of funds is available, FTA publishes multiple partial apportionment notices. This notice is the first notice announcing partial apportionment of Fiscal Year (FY) 2010 formula and discretionary funds. It also provides program guidance and requirements; and provides information on several program issues important in the current fiscal year. The notice also includes tables that show certain discretionary programs unobligated (carryover) funding from previous years that will be available for obligation during FY 2010.", 2010-2996,https://www.federalregister.gov/documents/2010/02/16/2010-2996/fta-fiscal-year-2010-apportionments-allocations-and-program-information,https://www.gpo.gov/fdsys/pkg/FR-2010-02-16/pdf/2010-2996.pdf,02/16/2010
Availability of Grant Funds for Fiscal Year 2010 and Request for Comments on Proposed Implementation Guidelines for the Coral Reef Conservation Program,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"The National Oceanic and Atmospheric Administration publishes this noticeto provide the general public with a consolidated source of program and application information related to its competitive grant and cooperative agreement (CA) award offerings for fiscal year (FY) 2010. This Omnibus notice is designed to replace the multiple Federal Register notices that traditionally advertised the availability of NOAA's discretionary funds for its various programs. It should be noted that additional program initiatives unanticipated at the time of the publication of this notice may be announced through subsequent Federal Register notices. All announcements will also be available through the Grants.gov Web site. In addition, this notice solicits comments on Proposed Implementation Guidelines for the Coral Reef Conservation Program.", 2010-721,https://www.federalregister.gov/documents/2010/01/19/2010-721/availability-of-grant-funds-for-fiscal-year-2010-and-request-for-comments-on-proposed-implementation,https://www.gpo.gov/fdsys/pkg/FR-2010-01-19/pdf/2010-721.pdf,01/19/2010
Section 5309 Bus and Bus Facilities Livability Initiative Program Grants,Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) announces the availability of discretionary Section 5309 Bus and Bus Facilities grant funds in support of the Department of Transportation's Livability Initiative (``Livability Bus Program''). The Livability Bus program will be funded using $150 million in unallocated Discretionary Bus and Bus Facilities Program funds, authorized by 49 U.S.C. 5309(b) of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy For Users (SAFETEA-LU), Public Law 109-59, August 10, 2005. FTA may use additional Bus and Bus Facilities funding that becomes available for discretionary allocation to further support this initiative. The Livability Bus Program makes funds available to public transit providers to finance capital projects to replace, rehabilitate, and purchase buses and related equipment and to construct bus-related facilities, including programs of bus and bus-related projects for assistance to subrecipients that are public agencies, private companies engaged in public transportation, or private non-profit organizations. This notice includes priorities established by FTA for these discretionary funds, the criteria FTA will use to identify meritorious projects for funding, and describes how to apply. This announcement is available on the FTA Web site at: http:// www.fta.dot.gov. FTA will announce final selections on the Web site and in the Federal Register. A synopsis of this announcement will be posted in the FIND module of the government-wide electronic grants Web site at http://www.grants.gov. Proposals may be submitted to FTA electronically at buslivability@dot.gov or through the GRANTS.GOV APPLY function. Those who apply via e-mail at buslivability@dot.gov should receive a confirmation e-mail within two business days.", E9-29242,https://www.federalregister.gov/documents/2009/12/08/E9-29242/section-5309-bus-and-bus-facilities-livability-initiative-program-grants,https://www.gpo.gov/fdsys/pkg/FR-2009-12-08/pdf/E9-29242.pdf,12/08/2009
Fisheries of the United States Exclusive Economic Zone Off Alaska; Fisheries of the Arctic Management Area; Bering Sea Subarea,Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS issues a final rule that implements the Fishery Management Plan for Fish Resources of the Arctic Management Area (Arctic FMP) and Amendment 29 to the Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs (Crab FMP). The Arctic FMP and Amendment 29 to the Crab FMP establish sustainable management of commercial fishing in the Arctic Management Area and move the northern boundary of the Crab FMP out of the Arctic Management Area south to Bering Strait. This action is necessary to establish a management framework for commercial fishing and to provide consistent management of fish resources in the Arctic Management Area before the potential onset of unregulated commercial fishing in the area. This action is intended to promote the goals and objectives of the Magnuson-Stevens Fishery Conservation and Management Act, the FMPs, and other applicable laws.", E9-26452,https://www.federalregister.gov/documents/2009/11/03/E9-26452/fisheries-of-the-united-states-exclusive-economic-zone-off-alaska-fisheries-of-the-arctic-management,https://www.gpo.gov/fdsys/pkg/FR-2009-11-03/pdf/E9-26452.pdf,11/03/2009
"Mission Statement; 2010 Executive-Led Trade Mission to Senegal and South Africa; March 7-12, 2010",Notice,Commerce Department; International Trade Administration,"", E9-24036,https://www.federalregister.gov/documents/2009/10/06/E9-24036/mission-statement-2010-executive-led-trade-mission-to-senegal-and-south-africa-march-7-12-2010,https://www.gpo.gov/fdsys/pkg/FR-2009-10-06/pdf/E9-24036.pdf,10/06/2009
National Environmental Policy Act-Proposed Categorical Exclusions,Notice,Commerce Department,"The U.S. Department of Commerce (DOC) publishes this notice to request public comments on proposed categorical exclusions of actions that the agency has determined do not individually or cumulatively have a significant effect on the human environment and, thus, should be categorically excluded from the requirement to prepare an environmental assessment or environmental impact statement under the National Environmental Policy Act, 42 U.S.C. 4321 et seq. (NEPA).", E9-12295,https://www.federalregister.gov/documents/2009/05/26/E9-12295/national-environmental-policy-act-proposed-categorical-exclusions,https://www.gpo.gov/fdsys/pkg/FR-2009-05-26/pdf/E9-12295.pdf,05/26/2009
